date,killed,wounded,city,state,lat,lon
2013-04-24T00:00:00.000Z,6,1,Manchester,IL,42.9956397,-71.4547891
2013-04-25T00:00:00.000Z,0,4,Oberlin,OH,41.2939386,-82.2173786
2013-04-27T00:00:00.000Z,1,4,Williston,FL,48.1465457,-103.621814
2013-04-28T00:00:00.000Z,0,4,Lauderdale Lakes,FL,26.16715525,-80.20493869767097
2013-04-28T00:00:00.000Z,4,0,Ottawa,KS,41.5421375,-83.213342
2013-04-28T00:00:00.000Z,0,5,Charlotte,NC,35.2272086,-80.8430827
2013-04-28T00:00:00.000Z,1,3,Chester,PA,39.9829308,-75.7652424
2013-04-28T00:00:00.000Z,2,2,Jackson,TN,32.3086744,-90.1983063
2013-05-02T00:00:00.000Z,0,5,Newark,NJ,40.735657,-74.1723667
2013-05-04T00:00:00.000Z,0,4,Smithfield,NC,35.5085531,-78.33936
2013-05-05T00:00:00.000Z,0,6,East Palo Alto,CA,37.4688273,-122.141075
2013-05-05T00:00:00.000Z,1,3,Oakland,CA,37.8044557,-122.271356
2013-05-06T00:00:00.000Z,0,4,Johnstown,PA,40.3267407,-78.9219698
2013-05-08T00:00:00.000Z,4,0,Hendersonville,NC,35.3187279,-82.4609528
2013-05-10T00:00:00.000Z,3,1,Los Angeles,CA,34.0536909,-118.242766
2013-05-11T00:00:00.000Z,0,4,Jersey City,NJ,40.7215682,-74.047455
2013-05-11T00:00:00.000Z,0,4,East Germantown,PA,39.8125465,-85.1374644
2013-05-11T00:00:00.000Z,4,0,Waynesville,IN,35.4887476,-82.9888725
2013-05-12T00:00:00.000Z,0,4,Apache Junction,AZ,33.4150485,-111.549577
2013-05-12T00:00:00.000Z,0,19,New Orleans,LA,29.9759983,-90.0782127
2013-05-12T00:00:00.000Z,0,5,Newark,NJ,40.735657,-74.1723667
2013-05-13T00:00:00.000Z,0,4,Winton Hills,OH,39.2101465,-84.5190763
2013-05-15T00:00:00.000Z,5,0,Fernley,NV,39.6048048,-119.2404748
2013-05-15T00:00:00.000Z,1,4,Detroit,MI,42.3315509,-83.0466403
2013-05-16T00:00:00.000Z,0,4,Philladelphia,PA,40.717647,-122.6805749
2013-05-19T00:00:00.000Z,2,2,Memphis,TN,35.1460249,-90.0517638
2013-05-19T00:00:00.000Z,0,4,Detroit,MI,42.3315509,-83.0466403
2013-05-19T00:00:00.000Z,0,4,Lunenburg,VA,36.9445279,-78.2562001
2013-05-20T00:00:00.000Z,0,4,Chicago,IL,41.8755616,-87.6244212
2013-05-21T00:00:00.000Z,4,0,Herndon,VA,39.909726,-100.785153
2013-05-23T00:00:00.000Z,2,2,Knoxville,TN,35.9603948,-83.9210261
2013-05-23T00:00:00.000Z,1,3,Saginaw,MI,43.4200387,-83.9490365
2013-05-24T00:00:00.000Z,2,2,Bakersfield,CA,35.3738712,-119.0194639
2013-05-25T00:00:00.000Z,1,3,Flint,MI,43.0161693,-83.6900211
2013-05-25T00:00:00.000Z,1,4,Hampton,VA,37.0300969,-76.3452057
2013-05-26T00:00:00.000Z,2,5,Eden,TX,36.4884715,-79.7667026
2013-05-28T00:00:00.000Z,5,0,Sells,AZ,31.9159161,-111.878044
2013-05-28T00:00:00.000Z,1,3,Memphis,TN,35.1460249,-90.0517638
2013-05-29T00:00:00.000Z,0,4,Chicago,IL,41.8755616,-87.6244212
2013-05-31T00:00:00.000Z,0,4,Atlanta,GA,33.7489924,-84.3902644
2013-06-01T00:00:00.000Z,2,2,Vallejo,CA,38.1040864,-122.2566367
2013-06-01T00:00:00.000Z,0,4,Milwaukee,WI,43.0349931,-87.922497
2013-06-02T00:00:00.000Z,0,4,Indianapolis,IN,39.7683331,-86.1583502
2013-06-02T00:00:00.000Z,0,4,Virginia Beach,VA,36.8529841,-75.9774183
2013-06-02T00:00:00.000Z,0,5,Roanoke,VA,37.270973,-79.9414313
2013-06-02T00:00:00.000Z,0,7,LaGrange,GA,41.6372578,-85.4216948
2013-06-03T00:00:00.000Z,2,2,Las Vegas,NV,36.1672559,-115.148516
2013-06-04T00:00:00.000Z,2,2,Shoreview,MN,45.0722056,-93.1282878
2013-06-05T00:00:00.000Z,0,10,Elburn,IL,41.8922499,-88.4723014
2013-06-07T00:00:00.000Z,6,4,Santa Monica,CA,34.0194704,-118.491227
2013-06-09T00:00:00.000Z,0,4,York City,PA,35.473554899999996,-97.52837588711839
2013-06-10T00:00:00.000Z,0,6,St. Louis,MO,38.6280278,-90.1910154
2013-06-10T00:00:00.000Z,1,4,Chicago,IL,41.8755616,-87.6244212
2013-06-11T00:00:00.000Z,4,0,Darien,IL,41.0787079,-73.4692873
2013-06-12T00:00:00.000Z,4,0,St. Louis,MO,38.6280278,-90.1910154
