date,killed,city,state,lat,lon
2014-05-03T00:00:00.000Z,4,Jonesboro,AR,35.8272257,-90.6949871
2014-05-09T00:00:00.000Z,4,Tampa,FL,27.9477595,-82.458444
2014-05-09T00:00:00.000Z,4,Pomona,CA,34.0553813,-117.7517496
2014-05-23T00:00:00.000Z,4,Santa Barbara,CA,34.4221319,-119.702667
2014-05-25T00:00:00.000Z,3,Myrtle Beach,SC,33.6956461,-78.8900409
2014-05-28T00:00:00.000Z,4,Mission Viejo,CA,33.5965685,-117.659405
2014-06-08T00:00:00.000Z,5,Las Vegas,NV,36.1672559,-115.148516
2014-06-08T00:00:00.000Z,5,San Carlos Park,FL,26.47327,-81.81759451422286
2014-06-09T00:00:00.000Z,3,Chicago,IL,41.8755616,-87.6244212
2014-06-13T00:00:00.000Z,3,Los Angeles,CA,34.0536909,-118.242766
2014-07-09T00:00:00.000Z,6,Houston,TX,29.7589382,-95.3676974
2014-07-12T00:00:00.000Z,3,Pasadena,CA,34.1476452,-118.1444779
2014-07-22T00:00:00.000Z,3,Moreno Valley,CA,33.937517,-117.2305944
2014-07-27T00:00:00.000Z,5,Saco,ME,35.4444022,-119.0923253
2014-07-31T00:00:00.000Z,3,Fayetteville,NC,36.0625843,-94.1574328
2014-08-02T00:00:00.000Z,3,Dallas,TX,32.7762719,-96.7968559
2014-08-03T00:00:00.000Z,5,Culpeper,VA,38.4912207,-77.9618216
2014-08-05T00:00:00.000Z,3,Fayetteville,NC,36.0625843,-94.1574328
2014-08-06T00:00:00.000Z,3,Bakersfield,CA,35.3738712,-119.0194639
2014-08-12T00:00:00.000Z,3,Cartersville,GA,34.1652304,-84.7997613
2014-08-26T00:00:00.000Z,4,Tulsa,OK,36.1563122,-95.9927516
2014-08-30T00:00:00.000Z,4,Elmhurst,IL,41.8994745,-87.9403418
2014-08-30T00:00:00.000Z,3,Brooksville,FL,28.5552719,-82.3878709
2014-09-01T00:00:00.000Z,4,Greenville,NC,34.851354,-82.3984882
2014-09-02T00:00:00.000Z,3,Kansas City,KS,39.100105,-94.5781416
2014-09-14T00:00:00.000Z,3,Corpus Christi,TX,27.7635302,-97.4033191
2014-09-18T00:00:00.000Z,8,Bell,FL,31.0081659,-97.4314413
2014-10-05T00:00:00.000Z,3,Jacksonville,FL,30.3321838,-81.655651
2014-10-08T00:00:00.000Z,4,Richmond,VA,37.5385087,-77.43428
2014-10-11T00:00:00.000Z,3,Stockton,CA,37.9577016,-121.2907796
2014-10-14T00:00:00.000Z,3,Peachtree Corners,GA,33.9701009,-84.2215869
2014-10-16T00:00:00.000Z,3,Port Orange,FL,29.101628050000002,-81.01059617608054
2014-10-24T00:00:00.000Z,5,Marysville,WA,48.0517429,-122.1768209
2014-10-26T00:00:00.000Z,4,Cadiz,KY,36.8650496,-87.835295
2014-11-15T00:00:00.000Z,3,Springfield,MO,39.7990175,-89.6439575
2014-11-19T00:00:00.000Z,4,Cleveland,OH,41.4996574,-81.6936772
2014-11-20T00:00:00.000Z,3,Tabernacle,NJ,31.4546729,-85.8687276
2014-11-22T00:00:00.000Z,4,Sisseton,SD,45.664557,-97.049791
2014-11-29T00:00:00.000Z,3,Atlanta,GA,33.7489924,-84.3902644
2014-12-01T00:00:00.000Z,5,Westover,WV,33.3495548,-86.5358159
2014-12-15T00:00:00.000Z,6,Montgomery County,PA,30.301949,-95.5065944
2014-12-20T00:00:00.000Z,4,Rockford,IL,42.2713945,-89.093966
2015-01-04T00:00:00.000Z,3,Dallas,TX,32.7762719,-96.7968559
2015-01-09T00:00:00.000Z,4,San Francisco,CA,37.7790262,-122.419906
2015-01-10T00:00:00.000Z,3,Moscow,ID,46.7323875,-117.0001651
2015-01-24T00:00:00.000Z,3,Omaha,NE,41.2587459,-95.9383758
2015-01-24T00:00:00.000Z,4,Queens,NY,40.7135078,-73.8283132
2015-01-29T00:00:00.000Z,4,Troup County,GA,33.0237625,-85.0254022
2015-02-04T00:00:00.000Z,4,King,NC,33.588178,-100.2178972
2015-02-05T00:00:00.000Z,3,Warrensville Heights,OH,41.43535,-81.514824
2015-02-07T00:00:00.000Z,5,Douglasville,GA,33.7514966,-84.7477136
2015-02-09T00:00:00.000Z,3,New Port Richey,FL,28.2441768,-82.7192671
2015-02-22T00:00:00.000Z,3,Habersham County,GA,34.6270741,-83.5016755
2015-02-22T00:00:00.000Z,4,Killeen,TX,31.1171441,-97.727796
2015-02-25T00:00:00.000Z,3,Houston,TX,29.7589382,-95.3676974
2015-02-27T00:00:00.000Z,8,Tyrone,MO,40.6705508,-78.2383479
2015-02-28T00:00:00.000Z,4,Tarboro,NC,35.8968236,-77.5358049
2015-02-28T00:00:00.000Z,3,Columbia,MO,34.0007493,-81.0343313
2015-03-03T00:00:00.000Z,3,Las Vegas,NV,36.1672559,-115.148516
2015-03-15T00:00:00.000Z,3,Houston County,AL,31.3378465,-95.390805
